날짜,지점,강수량(mm),,,,,,,,,,,0
2018.8.10,115,0,,,,,,,,,,,
2018.8.11,115,0,,,,,,,,,,,
2018.8.12,115,0,,,,,,,,,,,
2018.8.13,115,,,,,,,,,,,,
2018.8.14,115,,,,,,,,,,,,
2018.8.15,115,0,,,,,,,,,,,
2018.8.16,115,16.2,,,,,,,,,,,
2018.8.17,115,0.3,,,,,,,,,,,
2018.8.18,115,,,,,,,,,,,,
2018.8.19,115,,,,,,,,,,,,
2018.8.20,115,,,,,,,,,,,,
2018.8.21,115,,,,,,,,,,,,
2018.8.22,115,,,,,,,,,,,,
2018.8.23,115,,,,,,,,,,,,
2018.8.24,115,4.1,,,,,,,,,,,
2018.8.25,115,0.2,,,,,,,,,,,
2018.8.26,115,16.7,,,,,,,,,,,
2018.8.27,115,5.5,,,,,,,,,,,
2018.8.28,115,5.1,,,,,,,,,,,
2018.8.29,115,0.3,,,,,,,,,,,
2018.8.30,115,0.7,,,,,,,,,,,
2018.8.31,115,15,,,,,,,,,,,
2018.9.1,115,0.1,,,,,,,,,,,
2018.9.2,115,,,,,,,,,,,,
2018.9.3,115,4.9,,,,,,,,,,,
2018.9.4,115,16.5,,,,,,,,,,,
2018.9.5,115,,,,,,,,,,,,
2018.9.6,115,,,,,,,,,,,,
2018.9.7,115,0.2,,,,,,,,,,,
2018.9.8,115,,,,,,,,,,,,
2018.9.9,115,0.1,,,,,,,,,,,
2018.9.10,115,0,,,,,,,,,,,
2018.9.11,115,,,,,,,,,,,,
2018.9.12,115,0,,,,,,,,,,,
2018.9.13,115,21.1,,,,,,,,,,,
2018.9.14,115,2.6,,,,,,,,,,,
2018.9.15,115,1.4,,,,,,,,,,,
2018.9.16,115,5.3,,,,,,,,,,,
2018.9.17,115,,,,,,,,,,,,
2018.9.18,115,,,,,,,,,,,,
2018.9.19,115,0.2,,,,,,,,,,,
2018.9.20,115,3.3,,,,,,,,,,,
2018.9.21,115,7.9,,,,,,,,,,,
2018.9.22,115,,,,,,,,,,,,
2018.9.23,115,,,,,,,,,,,,
2018.9.24,115,,,,,,,,,,,,
2018.9.25,115,,,,,,,,,,,,
2018.9.26,115,,,,,,,,,,,,
2018.9.27,115,0.1,,,,,,,,,,,
2018.9.28,115,,,,,,,,,,,,
2018.9.29,115,9.5,,,,,,,,,,,
2018.9.30,115,9.8,,,,,,,,,,,
2018.10.1,115,0,,,,,,,,,,,
2018.10.2,115,0.1,,,,,,,,,,,
2018.10.3,115,,,,,,,,,,,,
2018.10.4,115,,,,,,,,,,,,
2018.10.5,115,111,,,,,,,,,,,
2018.10.6,115,74.3,,,,,,,,,,,
2018.10.7,115,0.6,,,,,,,,,,,
2018.10.8,115,,,,,,,,,,,,
2018.10.9,115,0,,,,,,,,,,,
2018.10.10,115,0,,,,,,,,,,,
2018.10.11,115,0,,,,,,,,,,,
2018.10.12,115,0,,,,,,,,,,,
2018.10.13,115,,,,,,,,,,,,
2018.10.14,115,,,,,,,,,,,,
2018.10.15,115,,,,,,,,,,,,
2018.10.16,115,13.4,,,,,,,,,,,
2018.10.17,115,10.3,,,,,,,,,,,
2018.10.18,115,23.7,,,,,,,,,,,
2018.10.19,115,,,,,,,,,,,,
2018.10.20,115,,,,,,,,,,,,
2018.10.21,115,,,,,,,,,,,,
2018.10.22,115,,,,,,,,,,,,
