raw,detail,clean_normalized,latitude,longitude,type
경북 울릉 울릉 사동 0225-0000번지 대아리조트 101동 앞 주차장,경북 울릉 울릉 사동 0225-0000번지 대아리조트 101동 앞 주차장,,,,차대사람
경북 울릉 울릉 사동 0225-0000번지 대아리조트 101동 앞 주차장,경북 울릉 울릉 사동 0225-0000번지 대아리조트 101동 앞 주차장,,,,차대사람
경상북도 울릉군 울릉순환로 1268,,경상북도 울릉군 울릉순환로 1268,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 1268,,경상북도 울릉군 울릉순환로 1268,37.5217669,130.9095328,차량단독
경상북도 울릉군 나리길 468-37 나리 산3-6 (나리전망대에서 나리분지 방면,나리 산3-6 (나리전망대에서 나리분지 방면,경상북도 울릉군 나리길 468-37,37.5331198,130.8782363,차량단독-도로이탈
경상북도 울릉군 나리길 468-37 나리 산3-6 (나리전망대에서 나리분지 방면,나리 산3-6 (나리전망대에서 나리분지 방면,경상북도 울릉군 나리길 468-37,37.5331198,130.8782363,차량단독-도로이탈
경상북도 울릉군 나리길 468-37 나리 산3-6 (나리전망대에서 나리분지 방면,나리 산3-6 (나리전망대에서 나리분지 방면,경상북도 울릉군 나리길 468-37,37.5331198,130.8782363,차량단독-도로이탈
경상북도 울릉군 나리길 468-37 나리 산3-6 (나리전망대에서 나리분지 방면,나리 산3-6 (나리전망대에서 나리분지 방면,경상북도 울릉군 나리길 468-37,37.5331198,130.8782363,차량단독-도로이탈
경상북도 울릉군 나리길 468-37 나리 산3-6 (나리전망대에서 나리분지 방면,나리 산3-6 (나리전망대에서 나리분지 방면,경상북도 울릉군 나리길 468-37,37.5331198,130.8782363,차량단독-도로이탈
경상북도 울릉군 나리길 468-37 나리 산3-6 (나리전망대에서 나리분지 방면,나리 산3-6 (나리전망대에서 나리분지 방면,경상북도 울릉군 나리길 468-37,37.5331198,130.8782363,차량단독-도로이탈
경상북도 울릉군 나리길 468-37 나리 산3-6 (나리전망대에서 나리분지 방면,나리 산3-6 (나리전망대에서 나리분지 방면,경상북도 울릉군 나리길 468-37,37.5331198,130.8782363,차량단독-도로이탈
경상북도 울릉군 봉래2길 30-2 369식당 맞은편,369식당 맞은편,경상북도 울릉군 봉래2길 30-2,37.4935148,130.9092049,차량단독
경상북도 울릉군 봉래2길 30-2 369식당 맞은편,369식당 맞은편,경상북도 울릉군 봉래2길 30-2,37.4935148,130.9092049,차량단독
경북 울릉 울릉 저동 산0020-0000번지 와달리휴게소앞,경북 울릉 울릉 저동 산0020-0000번지 와달리휴게소앞,,,,차량단독
경상북도 울릉군 봉래길 5-9 독도수산 앞,독도수산 앞,경상북도 울릉군 봉래길 5-9,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 5-9 독도수산 앞,독도수산 앞,경상북도 울릉군 봉래길 5-9,37.4942698,130.9058294,차대차
경상북도 울릉군 도동1길 5-42 도동 소공원 앞,도동 소공원 앞,경상북도 울릉군 도동1길 5-42,37.4828619,130.9073293,차량단독
경상북도 울릉군 도동1길 5-42 도동 소공원 앞,도동 소공원 앞,경상북도 울릉군 도동1길 5-42,37.4828619,130.9073293,차량단독
경상북도 울릉군 도동길 145 울릉군청별관앞 도로상,울릉군청별관앞 도로상,경상북도 울릉군 도동길 145,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 145 울릉군청별관앞 도로상,울릉군청별관앞 도로상,경상북도 울릉군 도동길 145,37.4840452,130.9044753,차량단독
경북 울릉 서면 남양 산0070-0001번지 통구미터널에서 남통터널 사이 중간지점,경북 울릉 서면 남양 산0070-0001번지 통구미터널에서 남통터널 사이 중간지점,,,,차대차
경북 울릉 서면 남양 산0070-0001번지 통구미터널에서 남통터널 사이 중간지점,경북 울릉 서면 남양 산0070-0001번지 통구미터널에서 남통터널 사이 중간지점,,,,차대차
경상북도 울릉군 도동길 137 우리펜션 앞,우리펜션 앞,경상북도 울릉군 도동길 137,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 137 우리펜션 앞,우리펜션 앞,경상북도 울릉군 도동길 137,37.4840452,130.9044753,차량단독
경상북도 울릉군 울릉순환로 213 제일약국 앞,제일약국 앞,경상북도 울릉군 울릉순환로 213,37.4652336,130.8394194,차대차
경상북도 울릉군 울릉순환로 213 제일약국 앞,제일약국 앞,경상북도 울릉군 울릉순환로 213,37.4652336,130.8394194,차대차
경상북도 울릉군 저동1길 46 성의하이츠 앞 노상,성의하이츠 앞 노상,경상북도 울릉군 저동1길 46,37.4978519,130.9050032,차대차
경상북도 울릉군 저동1길 46 성의하이츠 앞 노상,성의하이츠 앞 노상,경상북도 울릉군 저동1길 46,37.4978519,130.9050032,차대차
경상북도 울릉군 봉래길 95 우산중학교 입구,우산중학교 입구,경상북도 울릉군 봉래길 95,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 95 우산중학교 입구,우산중학교 입구,경상북도 울릉군 봉래길 95,37.4942698,130.9058294,차대차
경상북도 울릉군 울릉순환로 3639 관음도 앞 노상,관음도 앞 노상,경상북도 울릉군 울릉순환로 3639,37.4652336,130.8394194,차대차
경상북도 울릉군 울릉순환로 3639 관음도 앞 노상,관음도 앞 노상,경상북도 울릉군 울릉순환로 3639,37.4652336,130.8394194,차대차
경상북도 울릉군 울릉순환로 3639 관음도 앞 노상,관음도 앞 노상,경상북도 울릉군 울릉순환로 3639,37.4652336,130.8394194,차대차
경상북도 울릉군 울릉순환로 204 저동수협주차장 맞은편 수협어판장앞,저동수협주차장 맞은편 수협어판장앞,경상북도 울릉군 울릉순환로 204,37.4652336,130.8394194,차대사람
경상북도 울릉군 울릉순환로 204 저동수협주차장 맞은편 수협어판장앞,저동수협주차장 맞은편 수협어판장앞,경상북도 울릉군 울릉순환로 204,37.4652336,130.8394194,차대사람
경상북도 울릉군 울릉순환로 236 울릉고등학교 앞,울릉고등학교 앞,경상북도 울릉군 울릉순환로 236,37.4932522,130.9080948,차대차
경상북도 울릉군 울릉순환로 236 울릉고등학교 앞,울릉고등학교 앞,경상북도 울릉군 울릉순환로 236,37.4932522,130.9080948,차대차
경북 울릉 북면 천부 산0004-0006번지 삼선암 부근(삼선암에서 죽암마을 방면으로,경북 울릉 북면 천부 산0004-0006번지 삼선암 부근(삼선암에서 죽암마을 방면으로,,,,차량단독
경상북도 울릉군 봉래길 310 정수장 옆,정수장 옆,경상북도 울릉군 봉래길 310,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 310 정수장 옆,정수장 옆,경상북도 울릉군 봉래길 310,37.4942698,130.9058294,차대차
