발생일시,"사고
종별",사고장소
2025-07-09 14:12,차량단독,경북 울릉 울릉 저동 0382-0004번지 내리막 비탈길 흙바닥
2025-07-06 18:40,차량단독,경상북도 울릉군 무릉길 245-98  노상
2025-07-09 16:49,차량단독,경상북도 울릉군 저동3길 47  깍개등 방면에서 신흥슈퍼 방면 내리막 도?
2025-07-10 17:10,,경상북도 울릉군 도동길 34  노면 주차장
2025-07-10 17:10,,경상북도 울릉군 도동길 34  노면 주차장
2025-07-10 17:00,차량단독,경상북도 울릉군 도동길 34  도동항 노면 주차장
2025-07-10 17:00,차량단독,경상북도 울릉군 도동길 34  도동항 노면 주차장
2025-07-10 16:00,차량단독,경상북도 울릉군 봉래길 40-1  주차장에. 주차된 차
2025-07-10 16:00,차량단독,경상북도 울릉군 봉래길 40-1  주차장에. 주차된 차
2025-07-11 11:30,차대차,경상북도 울릉군 울릉순환로 785-25  
2025-07-11 11:30,차대차,경상북도 울릉군 울릉순환로 785-25  
2025-07-21 13:00,차량단독,경북 울릉 서면 태하 0754-0000번지 도로보수공사 현장으로서 외부차량은 진입?
2025-07-22 08:46,차대차,경상북도 울릉군 도동1길 5-3  CCTV 있음
2025-07-22 08:46,차대차,경상북도 울릉군 도동1길 5-3  CCTV 있음
2025-07-12 18:00,차량단독,경상북도 울릉군 울릉순환로 171  
2025-07-12 18:00,차량단독,경상북도 울릉군 울릉순환로 171  
2025-07-20 13:40,차대차,경상북도 울릉군 울릉순환로 608  
2025-07-20 13:40,차대차,경상북도 울릉군 울릉순환로 608  
2025-07-26 15:18,차량단독,경북 울릉 울릉 도동 0401-0002번지 공사차량 이동 빈번함
2025-07-26 15:18,차량단독,경북 울릉 울릉 도동 0401-0002번지 공사차량 이동 빈번함
2025-07-26 14:20,차대차,경상북도 울릉군 학포길 185-7  공중화장실 앞 노상
2025-07-26 14:20,차대차,경상북도 울릉군 학포길 185-7  공중화장실 앞 노상
2025-07-30 14:30,차대차,경상북도 울릉군 도동2길 96  주차장 옥상
2025-07-30 14:30,차대차,경상북도 울릉군 도동2길 96  주차장 옥상
2025-08-01 11:00,차대차,경상북도 울릉군 도동길 34  도동항 인근주차장
2025-08-01 11:00,차대차,경상북도 울릉군 도동길 34  도동항 인근주차장
2025-08-01 13:00,차대차,경상북도 울릉군 울릉순환로 183  해양파출소 입구주차장
2025-08-01 13:00,차대차,경상북도 울릉군 울릉순환로 183  해양파출소 입구주차장
2025-08-03 13:26,차량단독,경북 울릉 서면 남서 산0113-0001번지 낙석위험지역
2025-08-03 11:40,,경상북도 울릉군 도동1길 6  소공원 앞 도로
2025-08-03 11:40,,경상북도 울릉군 도동1길 6  소공원 앞 도로
2025-08-05 17:20,차대차,경상북도 울릉군 울릉순환로 356-3  작은 골목길이있는 삼거리
2025-08-05 17:20,차대차,경상북도 울릉군 울릉순환로 356-3  작은 골목길이있는 삼거리
2025-08-08 08:00,차량단독,경상북도 울릉군 약수터길 90-17  
2025-08-08 08:00,차량단독,경상북도 울릉군 약수터길 90-17  
2025-08-13 15:00,차량단독,경상북도 울릉군 도동7길 39-1  
2025-08-13 15:00,차량단독,경상북도 울릉군 도동7길 39-1  
2025-08-15 13:00,차대차,경상북도 울릉군 남양길 41  
2025-08-15 13:00,차대차,경상북도 울릉군 남양길 41  
2025-08-18 07:25,차량단독,경상북도 울릉군 울릉순환로 395  
2025-08-18 07:25,차량단독,경상북도 울릉군 울릉순환로 395  
2025-08-19 21:55,차량단독,경상북도 울릉군 울릉순환로 171  저동 여객선터미널 앞노상
2025-08-19 21:55,차량단독,경상북도 울릉군 울릉순환로 171  저동 여객선터미널 앞노상
2025-08-17 16:00,차량단독,경상북도 울릉군 울릉순환로 541-14  
2025-08-17 16:00,차량단독,경상북도 울릉군 울릉순환로 541-14  
2025-08-19 18:00,차량단독,경상북도 울릉군 도동1길 5-42  
2025-08-19 18:00,차량단독,경상북도 울릉군 도동1길 5-42  
2025-08-23 11:44,차대차,경상북도 울릉군 울릉순환로 785-17  노상
2025-08-23 11:44,차대차,경상북도 울릉군 울릉순환로 785-17  노상
2025-08-25 12:30,,경북 울릉 서면 태하 0754-0000번지 터널내에서
2025-08-17 16:00,차량단독,경상북도 울릉군 도동4길 8  체육관 앞 주차장
2025-08-17 16:00,차량단독,경상북도 울릉군 도동4길 8  체육관 앞 주차장
2025-08-23 18:00,차량단독,경상북도 울릉군 울릉순환로 2625  
2025-08-23 18:00,차량단독,경상북도 울릉군 울릉순환로 2625  
2025-08-29 16:15,차량단독,경상북도 울릉군 저동길 61  
2025-08-29 16:15,차량단독,경상북도 울릉군 저동길 61  
2025-09-03 13:50,차량단독,경상북도 울릉군 남양길 23-1  이면도로
2025-09-03 13:50,차량단독,경상북도 울릉군 남양길 23-1  이면도로
2025-08-31 11:00,차량단독,경상북도 울릉군 도동길 14  
2025-08-31 11:00,차량단독,경상북도 울릉군 도동길 14  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-08-31 10:30,차대차,경상북도 울릉군 울릉순환로 118  
2025-09-09 17:40,차량단독,경상북도 울릉군 도동길 14  매표소 밑 주차장
2025-09-09 17:40,차량단독,경상북도 울릉군 도동길 14  매표소 밑 주차장
2025-09-20 12:10,차대차,경북 울릉 서면 남양 산0070-0001번지 굽은도로
2025-09-20 12:10,차대차,경북 울릉 서면 남양 산0070-0001번지 굽은도로
2025-09-19 05:30,차대차,경상북도 울릉군 도동2길 96  울릉읍 도동공영주차장 지상1층
2025-09-19 05:30,차대차,경상북도 울릉군 도동2길 96  울릉읍 도동공영주차장 지상1층
2025-09-22 14:32,차량단독,경북 울릉 울릉 사동 0386-0000번지 농로 비탈길
2025-09-24 18:10,,경상북도 울릉군 도동길 83  중앙선없는도로
2025-09-24 18:10,,경상북도 울릉군 도동길 83  중앙선없는도로
2025-09-25 06:27,차대차,경상북도 울릉군 울릉순환로 513  
2025-09-25 06:27,차대차,경상북도 울릉군 울릉순환로 513  
2025-09-25 12:40,차대차,경상북도 울릉군 도동길 14  
2025-09-25 12:40,차대차,경상북도 울릉군 도동길 14  
